"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",PIRRÍS,3092276.119,6538743.781,4360735.211,94661.234,104523.594,77977.643,53027.851,31312.652,52063.887,26-02-0202,"Mar 1",0.1487,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",REVENTAZON,8395085.04,15296925.534,16211182.344,149433.768,152677.811,138371.771,53127.91,54747.785,53762.142,17-02-0202,"Mar 1",0.1939,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","RÍO MACHO",5025497.805,8959202.219,6681631.389,137877.371,111690.189,96729.982,25831.291,28692.523,27033.889,15-02-0202,"Mar 1",0.2197,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MIRAVALLES III",3982037.756,7166272.831,8003506.62,28831.773,29025.074,29166.232,28379.658,28519.396,28478.162,03-02-0202,"Mar 1",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","SOLAR MIRAVALLES",0,,,,,,,,,27-10-2025,,0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MIRAVALLES V",0,0,0,-36.226,-33.044,-36.434,-40.902,-41.495,-44.745,14-02-0202,"Mar 1",0.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MOÍN GAS II",0.035,0.467,0,-46.581,-44.609,-51.975,-58.747,-61.816,-60.753,21-02-0202,"Mar 1",0.0000,2466,0,0,0,0,1935971.8,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MOÍN GAS III",0,9.992,0,-91.338,-87.314,-85.883,-146.26,-149.824,-140.172,17-02-0202,"Mar 1",0.0000,617,0,0,0,0,0,0,0,0,0
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",OROTINA,0,0,0,0,0,0,0,0,0,01-02-0202,"Mar 1",0.0000,26,0,0,0,0,15760.23,0,744,0,870167.92
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",ECHANDI,1755099.5,,,,,,,,,27-10-2025,,0.6074,,,,,,,,,,
